Accession	Domain	Start	Stop
NZ_CP023481.1_701	Domain1	20	40
NZ_CP008804.1_1312	Domain1	20	40
NZ_CP020400.2_1039	Domain1	20	40
NZ_CP027405.1_1469	Domain1	20	40
NZ_LS483445.1_519	Domain1	20	40
NZ_LS398110.1_6328	Domain1	20	40
NZ_CP025435.1_2073	Domain1	20	40
NZ_CP009556.1_2585	Domain1	20	40
NZ_CP013359.1_2166	Domain1	20	40
NC_019952.1_3316	Domain1	20	40
NZ_CP012109.1_5081	Domain1	20	40
NZ_CP032738.1_4915	Domain1	20	40
NZ_CP016616.1_451	Domain1	20	40
NZ_CP022142.1_232	Domain1	20	40
NC_015460.1_1050	Domain1	20	40
NC_008009.1_1720	Domain1	20	40
NC_016946.1_4642	Domain1	20	40
NZ_CP039559.1_14	Domain1	20	40
NZ_CP039717.1_14	Domain1	20	40
NC_014623.1_2640	Domain1	20	40
CP019067.1_2985	Domain1	20	40
NZ_CP015229.1_4292	Domain1	20	40
NZ_CP011059.1_1420	Domain1	20	40
NZ_CP025394.1_4091	Domain1	20	40
NZ_CP029639.1_6408	Domain1	20	40
NZ_CP036199.1_3072	Domain1	20	40
NZ_CP016087.1_359	Domain1	20	40
NZ_CP010776.1_1059	Domain1	20	40
NZ_CP009621.1_383	Domain1	20	40
NZ_CP017477.1_586	Domain1	20	40
NZ_CP021915.1_12	Domain1	20	40
NZ_CP017802.2_2091	Domain1	20	40
NZ_CP040993.1_3114	Domain1	20	40
NZ_CP017991.1_133	Domain1	20	40
CP002062.1_2976	Domain1	20	40
NZ_CP030040.1_3689	Domain1	20	40
NZ_CP013661.2_113	Domain1	20	40
NZ_CP039454.1_95	Domain1	20	40
NC_016612.1_4846	Domain1	20	40
NC_022196.1_1796	Domain1	20	40
NZ_CP031966.1_659	Domain1	20	40
CP019154.1_2673	Domain1	20	40
NZ_CP034161.1_264	Domain1	20	40
